Iteration,BestSelection,TabuSelection3,TabuSelection15
186,5305.0,5305.0,5245.0
187,5305.0,5306.0,5254.0
188,5305.0,5306.0,5275.0
189,5305.0,5305.0,5303.0
190,5305.0,5305.0,5333.0
191,5305.0,5305.0,5306.0
192,5305.0,5305.0,5306.0
193,5305.0,5306.0,5278.0
194,5305.0,5306.0,5257.0
195,5305.0,5305.0,5248.0
196,5305.0,5305.0,5239.0
197,5305.0,5305.0,5237.0
198,5305.0,5305.0,5236.0
199,5305.0,5306.0,5236.0
